pl_name,hostname,default_flag,disposition,disp_refname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,ttv_flag,st_refname,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,st_mass,st_logg,st_loggerr1,st_loggerr2,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
EPIC 201541160.01,EPIC 201541160,1,CANDIDATE,Zink et al. 2021,1,0,Transit,2021,K2,Published Candidate,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,15.695142,0.001569,-0.001715,2.028,0.195,-0.168,0.0,0.18092635,0.01739676,-0.01498798,0.0,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,4270.0,138.0,-138.0,0.625,0.047,-0.043,0.743,4.719,0.15,-0.15,10h52m14.18s,163.0590829,+01d09m17.23s,1.1547858,197.438,1.014,-1.005,14.263,0.08,-0.08,11.226,0.025,-0.025,13.7783,0.000292,-0.000292,19/11/2021,2021-12,19/11/2021
EPIC 201595106 b,EPIC 201595106,1,CONFIRMED,Adams et al. 2021,1,2,Transit,2021,K2,Published Confirmed,<a refstr=LIVINGSTON_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024NatSR..1427219L/abstract target=ref>Livingston et al. 2024</a>,0.87724,4e-05,-4e-05,1.565,0.079,-0.079,0.0,0.13962019,0.00704792,-0.00704792,0.0,0,<a refstr=LIVINGSTON_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024NatSR..1427219L/abstract target=ref>Livingston et al. 2024</a>,5679.0,60.0,-39.0,0.98,0.025,-0.025,0.958,4.435,0.035,-0.035,12h14m52.89s,183.7203635,+01d58m05.41s,1.9681688,232.1,2.706,-2.646,11.746,0.069,-0.069,10.218,0.021,-0.021,11.6477,0.000245,-0.000245,29/01/2025,2024-11,29/01/2025
EPIC 201595106 b,EPIC 201595106,0,CONFIRMED,Adams et al. 2021,1,2,Transit,2021,K2,Published Candidate,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,0.87703,0.00011,-0.00013,1.2,0.11,-0.1,0.0,0.11,0.0098,-0.009,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,5711.17,129.09,-85.29,0.990833,0.04382,-0.048447,1.018,4.45381,0.074926,-0.069805,12h14m52.89s,183.7203635,+01d58m05.41s,1.9681688,232.1,2.706,-2.646,11.746,0.069,-0.069,10.218,0.021,-0.021,11.6477,0.000245,-0.000245,02/08/2018,2018-08,02/08/2018
EPIC 201617985.01,EPIC 201617985,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2015,K2,Published Candidate,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,7.28116,0.00055,-0.00058,1.79,0.2,-0.18,0.0,0.16,0.018,-0.016,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,3726.0,157.0,-157.0,0.541438,0.016101,-0.016101,0.537488,4.70134,0.009428,-0.009428,11h57m57.96s,179.4915118,+02d19m17.39s,2.321497,126.182,0.673,-0.667,14.796,0.08,-0.08,10.9,0.019,-0.019,14.0514,0.00032,-0.00032,14/12/2017,2017-11,14/12/2017
EPIC 201639576.01,EPIC 201639576,1,CANDIDATE,Zink et al. 2021,1,0,Transit,2021,K2,Published Candidate,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,7.655533,0.000682,-0.000589,2.328,0.196,-0.185,0.0,0.20769061,0.01748598,-0.01650462,0.0,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,5114.0,138.0,-138.0,0.751,0.055,-0.05,1.004,4.687,0.15,-0.15,11h04m14.49s,166.0603718,+02d39m20.84s,2.6557881,495.707,12.129,-11.572,14.699,0.069,-0.069,12.55,0.03,-0.03,14.4478,0.00033,-0.00033,19/11/2021,2021-12,19/11/2021
EPIC 201663879.02,K2-319,1,CANDIDATE,Castro Gonz&aacute;lez et al. 2020,1,1,Transit,2020,K2,Published Candidate,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5416C/abstract target=ref>Castro Gonz&aacute;lez et al. 2020</a>,35.621,0.003,-0.002,1.89,0.14,-0.13,0.0,0.1686148,0.01248998,-0.01159784,0.0,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5416C/abstract target=ref>Castro Gonz&aacute;lez et al. 2020</a>,5440.0,115.0,-115.0,0.898,0.013,-0.013,0.954,4.512,0.055,-0.055,11h07m12.24s,166.8010058,+03d02m23.77s,3.0399357,209.071,1.88,-1.847,12.213,0.069,-0.069,10.223,0.025,-0.025,11.9397,0.000259,-0.000259,28/03/2022,2020-12,28/03/2022
EPIC 201717274.01,EPIC 201717274,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2016,K2,Published Candidate,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,3.52674,0.0003,-0.00032,1.32,0.26,-0.25,0.0,0.118,0.023,-0.022,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,3413.0,157.0,-157.0,0.350987,0.010957,-0.010957,0.335348,4.87298,0.000458,-0.000458,11h35m18.64s,173.8276491,+03d56m02.46s,3.9340165,124.872,1.038,-1.022,16.63,0.2,-0.2,12.153,0.027,-0.027,15.6549,0.001057,-0.001057,14/12/2017,2017-11,14/12/2017
EPIC 201841433 b,EPIC 201841433,1,CONFIRMED,Heller et al. 2019,1,1,Transit,2019,K2,Published Confirmed,<a refstr=DEL_SER__AMP__FORS_2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2778D/abstract target=ref>del Ser &amp; Fors 2020</a>,4.1698,0.0001,-0.0001,1.04,0.037,-0.032,0.0,0.09278259,0.00330092,-0.00285485,0.0,0,<a refstr=DEL_SER__AMP__FORS_2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2778D/abstract target=ref>del Ser &amp; Fors 2020</a>,5053.0,103.0,-166.0,0.628461,0.04342,-0.024858,0.802,4.595,0.05,-2.86,11h40m49.62s,175.206752,+06d08m05.33s,6.1348146,436.488,8.178001,-7.888,14.983,0.114,-0.114,12.454,0.03,-0.03,14.5885,0.00051,-0.00051,13/11/2020,2020-08,19/11/2020
EPIC 205943325.01,EPIC 205943325,1,CANDIDATE,Zink et al. 2021,1,0,Transit,2021,K2,Published Candidate,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,27.270191,0.003222,-0.003438,2.5,0.175,-0.167,0.0,0.22303545,0.01561248,-0.01489877,0.0,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,6171.0,138.0,-138.0,1.612,0.101,-0.095,1.275,4.129,0.15,-0.15,22h13m55.15s,333.4797735,-16d35m35.49s,-16.5931905,377.061,11.735,-11.059,11.535,0.021,-0.021,10.063,0.025,-0.025,11.2714,0.000506,-0.000506,19/11/2021,2021-12,19/11/2021
EPIC 205979483.01,EPIC 205979483,1,FALSE POSITIVE,del Ser et al. 2022,1,0,Transit,2022,K2,Published Confirmed,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,12.4292,0.0005,-0.0007,1.1126,0.045,-0.0456,0.0,0.09925969,0.00401464,-0.00406817,0.0,0,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,5414.0,138.0,-138.0,0.814,0.054,-0.051,0.945,4.595,0.15,-0.15,22h40m18.31s,340.076275,-15d26m11.07s,-15.4364075,279.752,4.15,-4.032,13.053,0.057,-0.057,11.057,0.026,-0.026,12.765,0.000577,-0.000577,07/11/2022,2022-10,07/11/2022
EPIC 206312951.01,EPIC 206312951,1,CANDIDATE,Dressing et al. 2017,1,0,Transit,2016,K2,Published Candidate,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,1.53402,0.00018,-0.00017,1.13,0.11,-0.1,0.0,0.101,0.01,-0.009,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,3698.0,157.0,-157.0,0.520027,0.015695,-0.015695,0.517496,4.71992,0.009044,-0.009044,22h28m20.55s,337.0856329,-08d02m29.96s,-8.0416566,144.943,0.974,-0.961,15.333,0.065,-0.065,11.328,0.023,-0.023,14.5395,0.000586,-0.000586,14/12/2017,2017-11,14/12/2017
EPIC 206317286 c,EPIC 206317286,1,CONFIRMED,Christiansen et al. 2022,1,2,Transit,2022,K2,Published Confirmed,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,17.515472,0.002288,-0.002965,2.094,0.176,-0.16,0.0,0.18681449,0.0157017,-0.01427427,0.0,0,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,4752.0,138.0,-138.0,0.758,0.052,-0.057,0.832,4.596,0.15,-0.15,22h30m28.28s,337.6178427,-07d58m20.84s,-7.972456,314.35,2.936,-2.882,14.005,0.08,-0.08,11.635,0.025,-0.025,13.774,0.000299,-0.000299,16/03/2022,2022-03,16/03/2022
EPIC 206461841.01,EPIC 206461841,1,CANDIDATE,del Ser et al. 2022,1,0,Transit,2022,K2,Published Confirmed,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,10.4404,0.0007,-0.0011,0.6739,0.0394,-0.037,0.0,0.06012143,0.00351504,-0.00330092,0.0,0,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,4893.0,119.0,-119.0,0.746,0.047,-0.047,0.8,4.596,0.09,-0.09,22h36m14.59s,339.060796,-05d36m09.70s,-5.6026936,100.694,0.587,-0.579,11.055,0.017,-0.017,9.173,0.02,-0.02,11.2315,0.000795,-0.000795,07/11/2022,2022-10,07/11/2022
EPIC 206468053.01,EPIC 206468053,1,CANDIDATE,Zink et al. 2021,1,0,Transit,2021,K2,Published Candidate,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,27.837146,0.006803,-0.00635,5.149,0.472,-0.427,0.0,0.4593638,0.04210909,-0.03809445,0.0,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,4241.0,138.0,-138.0,0.64,0.056,-0.05,0.741,4.696,0.15,-0.15,22h41m24.07s,340.3502909,-05d29m37.24s,-5.4936767,541.51,24.019,-22.095,16.341,0.4,-0.4,13.383,0.034,-0.034,16.0496,0.001228,-0.001228,19/11/2021,2021-12,19/11/2021
EPIC 210418253.01,EPIC 210418253,1,CANDIDATE,del Ser et al. 2022,1,0,Transit,2022,K2,Published Confirmed,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,23.9683,0.0044,-0.0013,1.6119,0.1413,-0.1343,0.0,0.14380433,0.01260596,-0.01198146,0.0,0,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,5296.0,138.0,-138.0,1.129,0.073,-0.067,1.325,4.455,0.15,-0.15,04h18m19.27s,64.5802782,+13d52m40.06s,13.8777944,217.647,1.95,-1.916,12.611,1.133,-1.133,9.828,0.018,-0.018,12.1482,0.000195,-0.000195,07/11/2022,2022-10,07/11/2022
EPIC 210564155.01,EPIC 210564155,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2017,K2,Published Candidate,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,4.86406,0.00028,-0.00028,1.09,0.13,-0.13,0.0,0.097,0.012,-0.012,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,3407.0,157.0,-157.0,0.298809,0.008932,-0.008932,0.27526,4.92702,0.005906,-0.005906,04h01m51.27s,60.4636158,+16d25m58.27s,16.4328519,59.9697,0.2508,-0.2487,15.83,0.2,-0.2,10.993,0.018,-0.018,14.5207,0.000365,-0.000365,14/12/2017,2017-11,14/12/2017
EPIC 210706310.01,EPIC 210706310,1,CANDIDATE,del Ser et al. 2022,1,0,Transit,2022,K2,Published Confirmed,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,5.1718,0.0002,-0.0002,0.8891,0.0529,-0.0443,0.0,0.07932033,0.00471943,-0.00395219,0.0,0,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,5941.0,138.0,-138.0,0.954,0.055,-0.052,0.709,4.328,0.15,-0.15,03h57m30.09s,59.3753688,+18d27m12.77s,18.4535477,279.463,3.656,-3.564,12.074,0.049,-0.049,10.643,0.018,-0.018,12.306,0.000188,-0.000188,07/11/2022,2022-10,07/11/2022
EPIC 210708830.01,EPIC 210708830,1,CANDIDATE,del Ser et al. 2022,1,0,Transit,2022,K2,Published Confirmed,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,5.7408,0.0002,-0.0002,1.0668,0.0573,-0.0444,0.0,0.09517369,0.00511197,-0.00396111,0.0,0,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,5342.0,45.0,-45.0,0.76,0.018,-0.018,1.067,4.704,0.074,-0.074,03h52m54.31s,58.2262717,+18d29m24.68s,18.4901888,264.527,2.282,-2.243,13.544,0.092,-0.092,11.137,0.018,-0.018,13.1907,0.000407,-0.000407,07/11/2022,2022-10,07/11/2022
EPIC 210945680.01,EPIC 210945680,1,CANDIDATE,del Ser et al. 2022,1,0,Transit,2022,K2,Published Confirmed,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,20.5949,0.0022,-0.001,1.5097,0.0741,-0.079,0.0,0.13468664,0.00661077,-0.00704792,0.0,0,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,5969.0,20.0,-20.0,1.059,0.018,-0.017,0.994,4.386,0.031,-0.031,03h32m57.38s,53.2390995,+22d06m57.18s,22.1158827,227.124,2.692,-2.632,11.467,0.023,-0.023,9.905,0.02,-0.02,11.3102,0.000543,-0.000543,07/11/2022,2022-10,07/11/2022
EPIC 210945680.01,EPIC 210945680,0,CANDIDATE,del Ser et al. 2022,1,0,Transit,2022,K2,Published Candidate,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,20.600656,0.003989,-0.006457,2.166,0.08,-0.081,0.0,0.19323791,0.00713713,-0.00722635,0.0,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,5969.0,20.0,-20.0,1.059,0.018,-0.017,0.994,4.386,0.031,-0.031,03h32m57.38s,53.2390995,+22d06m57.18s,22.1158827,227.124,2.692,-2.632,11.467,0.023,-0.023,9.905,0.02,-0.02,11.3102,0.000543,-0.000543,19/11/2021,2021-12,19/11/2021
EPIC 210967369.01,EPIC 210967369,1,CANDIDATE,del Ser et al. 2022,1,0,Transit,2022,K2,Published Confirmed,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,7.1149,0.0006,-0.0006,0.9835,0.0483,-0.0499,0.0,0.08774214,0.00430904,-0.00445179,0.0,0,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,5534.0,138.0,-138.0,0.953,0.058,-0.055,0.845,4.411,0.15,-0.15,03h31m44.54s,52.9355857,+22d27m35.61s,22.4598921,267.405,2.917,-2.856,12.601,0.057,-0.057,10.601,0.017,-0.017,12.4082,0.000189,-0.000189,07/11/2022,2022-10,07/11/2022
