ra,dec,pl_orbper,pl_rade,pl_insol,pl_eqt,st_teff,st_logg,st_rad,st_tmag,mission,disposition_norm
138.402252,-55.19791,8.30792,43.1068,2276.25,1924.0,9081.0,3.83,3.05,8.0981,TESS,FALSE
141.975215,-61.33004,0.758082,10.1273702,216218.1005,5499.747633,9917.0,3.75,3.5086601,9.718,TESS,CANDIDATE
128.302319,-52.714202,1.4415577,3.61078,16861.8,3174.0,6902.0,4.25,1.52,9.5719,TESS,FALSE
159.887704,-32.51188,3.7039994,17.57,3546.13,2149.0,7013.8,4.21,1.9,9.6306,TESS,FALSE
126.419468,-60.907514,1.3042553,9.36472,26944.7,3569.0,6762.0,4.11,1.75,10.0119,TESS,FALSE
144.581535,-67.505097,0.62627,5.72162,3235.57,2101.0,5622.0,4.5,0.93,10.2355,TESS,FALSE
136.527702,-54.903922,0.30412,10.417,280833.0,6413.0,11892.0,4.14,2.52,8.802,TESS,FALSE
253.768848,-28.710584,2.1805277,16.808853,1770.465054,1654.404068,6599.0,4.21017,1.2714601,11.0657,TESS,CONFIRMED
337.457824,-48.003099,2.1846669,13.7028527,1362.138143,1549.44098,5630.0,4.37759,1.23824,9.4995,TESS,CONFIRMED
239.962248,-28.061794,3.7354838,21.2315,1292.19,1670.0,6650.0,4.1639,1.57,11.0261,TESS,CONFIRMED
40.365939,-71.462749,21.701669,2.3751494,52.095,685.2,5625.0,4.438,1.56486,7.1278,TESS,FALSE
337.510274,-75.646561,9.139804,3.0629855,243.011763,1006.993283,5958.2,4.34,1.58,9.0197,TESS,CONFIRMED
302.114174,-54.317501,15.5077855,2.43432,88.0718,853.0,6122.0,4.30881,1.17,8.4362,TESS,CONFIRMED
293.286615,-54.532728,17.4713078,3.5766828,53.3700317,689.3568807,5783.54,4.49925,0.974669,8.0888,TESS,CONFIRMED
339.258703,-76.917605,5.3079507,3.0486928,603.2401116,1263.986113,6124.3,4.38,1.36963,9.6663,TESS,CANDIDATE
127.996917,-78.407564,51.1701501,2.9366826,11.2148229,466.7322968,5599.0,4.46138,0.943356,9.4091,TESS,CANDIDATE
288.911772,-31.790813,11.1296441,12.8402271,1255.681716,1518.237249,5785.0,4.344,3.4475601,9.3781,TESS,CANDIDATE
269.714503,-60.922727,9.4496506,17.0216,38.5799,694.0,5509.0,4.39758,0.94,9.7825,TESS,CANDIDATE
68.959816,-64.027039,2.8493825,16.3869,2005.83,1864.0,6900.0,4.438,1.77,10.3157,TESS,CONFIRMED
299.290995,-48.934476,2.0685633,3.89739,24.409,619.0,5687.9,4.6,1.14,9.6652,TESS,CANDIDATE
38.120968,-78.023683,4.1150576,2.30057,77.3573,826.0,5394.0,4.50942,0.89,9.478,TESS,CONFIRMED
230.555493,-83.056214,10.0665238,2.7272824,54.8791715,694.1792631,5552.0,4.61783,0.791742,9.0689,TESS,CANDIDATE
296.003935,-47.56203,6.4438657,2.460344,60.831305,712.2812841,4803.0,4.52079,0.737189,10.0059,TESS,CONFIRMED
296.003935,-47.56203,12.2265595,2.6014766,25.8970378,575.3502049,4803.0,4.52079,0.737189,10.0059,TESS,CONFIRMED
288.672005,-59.57935,3.1316735,9.4995191,148.6544991,890.5622134,4351.0,4.438,0.76701,13.1686,TESS,CONFIRMED
289.479212,-32.860124,2.9776446,14.4339,758.324,1461.0,5703.0,4.25824,1.22,10.4293,TESS,CONFIRMED
313.783239,-34.135751,3.9502008,20.5357,1009.38,1570.0,6153.0,4.18077,1.71,9.6433,TESS,CONFIRMED
289.478541,-32.861327,2.9776152,26.88423,873.27,1386.5,5740.0,4.29219,1.28,15.7114,TESS,FALSE
280.184169,-58.459388,3.5544026,13.200677,515.0014435,1214.987644,5639.0,4.37172,1.11499,11.5803,TESS,CONFIRMED
75.627307,-72.913998,12.8379689,25.4886382,374.129,1225.0,5765.0,4.34773,2.4494,11.7106,TESS,FALSE
287.484402,-49.664942,3.9228016,13.3368705,91.167589,788.0973496,4444.0,4.438,0.6983,13.6699,TESS,CONFIRMED
310.761004,-72.010267,13.9428705,2.4233421,28.0927293,587.1759148,5206.0,4.63095,0.741671,10.6339,TESS,CANDIDATE
309.971209,-65.449699,0.6047392,1.8625587,528.0253155,1222.59731,4046.0,4.60963,0.580337,11.1186,TESS,CONFIRMED
294.633694,-55.330269,2.5495611,12.9171288,757.1284067,1337.864515,5659.0,4.44653,1.03997,11.2474,TESS,CONFIRMED
173.810798,-88.096213,1.6062693,12.6436029,844.2700581,1374.801814,5192.0,4.4617,0.984326,13.461,TESS,CANDIDATE
306.928646,-56.462287,0.5182425,1.3485121,255.1405815,1019.329598,3325.0,4.88693,0.390989,10.1165,TESS,CONFIRMED
283.119492,-55.387928,3.1644075,14.8814743,2206.155048,1747.949001,6519.0,4.22068,1.7234,13.1284,TESS,CANDIDATE
316.96148,-26.09672,3.0440541,12.1086799,315.9871326,1075.318454,5523.0,4.52192,0.809868,13.163,TESS,CONFIRMED
276.368325,-52.214573,3.9652485,1.2305102,5.2829448,386.6684768,3296.0,4.96636,0.199988,12.7067,TESS,CANDIDATE
83.275809,-80.815478,16.3469053,3.5059571,8.9995944,441.7489067,4310.0,4.57345,0.649613,11.8835,TESS,CANDIDATE
296.822194,-87.32281,12.9802953,2.4241912,4.7341229,376.2093904,3614.0,4.81257,0.491323,12.0936,TESS,CANDIDATE
268.890707,-61.7474,1.3484961,15.8824638,2706.960623,1839.671304,6346.0,4.38484,1.14759,12.2851,TESS,CONFIRMED
305.56982,-88.568495,3.7178828,14.6986197,1925.142617,1689.411619,5818.0,4.33787,2.0840001,12.2303,TESS,CANDIDATE
238.001011,-76.49349,9.30992,14.2968,215.208,1067.0,6907.0,3.63,3.09,9.4142,TESS,FALSE
272.311383,-76.300955,1.15395,5.48364,3534.3,2148.0,6093.0,4.2,1.4,10.4613,TESS,FALSE
228.84306,-52.885989,4.73703,25.7144,53821.0,4243.0,11600.0,4.13,2.48,10.3918,TESS,FALSE
313.215475,-25.687376,2.76676,12.2867389,505.8840075,1209.574123,5346.0,4.48823,0.984866,13.2366,TESS,CONFIRMED
242.016315,-68.588832,2.19296,22.7769,31883.5,3722.0,7009.8,3.6,2.95,10.0196,TESS,FALSE
222.101134,-56.025931,1.725841,15.0024,50469.2,4175.0,7348.0,3.9,2.39,9.3529,TESS,CANDIDATE
217.022882,-64.634285,1.1923,30.666,40771.2,3958.0,6534.0,3.95,2.04,9.0039,TESS,FALSE
230.498827,-53.819601,0.5971314,9.08382,1596.43,1760.0,7710.0,3.98,2.28,9.9806,TESS,CANDIDATE
133.968965,-75.926187,1.4821386,13.7339261,18197.13545,2962.241804,7066.0,3.78,2.6647301,10.4291,TESS,CANDIDATE
133.826684,-73.173308,0.9209526,5.7349089,32740.36294,3430.762244,6553.0,3.65,2.8908899,10.11,TESS,FALSE
189.775859,-74.57402,9.188506,2.16591,63.4589,786.0,5876.0,4.48,0.98,8.7215,TESS,CONFIRMED
189.775859,-74.57402,13.9028391,2.6136848,77.4841883,756.6987586,5876.0,4.48,0.983215,8.7215,TESS,CONFIRMED
192.589285,-88.121111,10.1826983,3.0538057,198.394783,957.1991659,6153.0,4.34814,1.14582,8.7581,TESS,CONFIRMED
328.718171,-77.338802,6.441006,2.56374,87.8902,853.0,4867.0,4.438,0.8,7.3661,TESS,CONFIRMED
5.618525,-59.942589,3.1743504,14.9172256,718.9096994,1320.651823,5943.0,4.42524,1.15706,11.6714,TESS,CONFIRMED
9.126138,-83.567067,20.0731588,4.0506906,69.3993155,736.1368293,6033.0,4.37,1.14849,10.5135,TESS,FALSE
319.551469,-77.529113,2.66903,9.36823,429.86,1268.0,5803.5,4.07,1.56,10.5891,TESS,FALSE
263.003209,-76.858265,6.63371,2.75375,22.9987,610.0,4138.1,4.54,0.63,10.5652,TESS,FALSE
279.721286,-85.709137,341.2811281,4.7531892,121.1597998,846.173434,6058.6,4.2,1.39203,7.5622,TESS,FALSE
146.053969,-89.471513,10.8680523,2.90726,20.7383,594.0,4664.0,4.55,0.76,10.2809,TESS,CANDIDATE
155.607863,-82.218869,4.0782392,13.898174,1619.008123,1617.82673,6501.0,4.08,1.74836,10.0068,TESS,CONFIRMED
30.198486,-77.610376,7.04083,8.46404,852.336,1505.0,5317.0,4.49,0.91,9.7906,TESS,FALSE
0.774487,-62.469317,2.1061569,13.086872,691.8428073,1308.041753,5380.0,4.4337,0.940697,13.183,TESS,CONFIRMED
286.791829,-58.697242,2.4545635,11.1276,2162.73,1899.0,6610.0,4.15,1.64,9.6789,TESS,FALSE
291.373783,-60.941042,11.4756978,14.1098,11.4585,512.0,7262.0,4.0,2.13,9.3871,TESS,FALSE
163.628917,-87.269735,2.78186,4.92567,1323.21,1680.0,6819.0,3.92,2.21,9.5162,TESS,FALSE
328.710839,-77.337433,6.4410082,4.59203,8.2114,471.0,3469.0,4.71,0.53,9.66865,TESS,FALSE
283.301843,-54.910806,4.45199,15.8858,1013.74,1571.0,6708.3,4.2,1.57,10.526,TESS,CANDIDATE
27.699972,-75.848774,5.0100708,2.3107394,210.6631712,971.6657708,5551.0,4.46214,0.906282,9.5268,TESS,CANDIDATE
273.602061,-66.419974,2.2281625,2.56778,702.927,1434.0,5731.0,4.43,1.02,10.4055,TESS,CANDIDATE
292.604815,-46.278074,10.95663,23.9726,619.065,1389.0,6456.0,3.92,2.07,10.5024,TESS,CANDIDATE
55.933639,-65.19378,2.4997996,13.8516093,907.8624196,1399.989438,5650.0,4.28867,1.13732,11.6035,TESS,CONFIRMED
293.389272,-45.892667,1.66226,13.3343,7149.89,2561.0,7301.0,4.23,1.64,10.4063,TESS,FALSE
300.212928,-43.982529,3.5187707,14.0061,2000.01,1863.0,6690.0,4.24,1.49,7.2235,TESS,CANDIDATE
298.287708,-46.369991,0.7724825,4.1624907,60276.50005,3996.287792,8271.0,3.95,2.5027299,8.0465,TESS,CANDIDATE
279.062469,-43.620606,1.6268695,2.36498,1946.23,1850.0,5034.0,4.64,0.73,10.3579,TESS,FALSE
289.761799,-43.074223,13.5499,6.24633,31.6652,660.0,6209.0,4.09,1.63,9.7298,TESS,FALSE
284.157959,-29.398357,4.43651,19.9664,8233.41,2653.0,7101.9,3.91,2.32,8.7823,TESS,FALSE
332.714337,-30.749719,3.372877,14.201803,615.165921,1270.187448,6050.0,4.45061,1.02,12.1893,TESS,CONFIRMED
286.376004,-41.43764,8.34998,11.1424,19.9348,588.0,4236.0,4.52,0.74,10.1429,TESS,CONFIRMED
286.376004,-41.43764,4.0686405,3.7548333,84.108766,772.378302,4236.0,4.52,0.741921,10.1429,TESS,CONFIRMED
248.433545,61.718334,0.5860366,4.906408,26813.10571,3263.672181,5579.0,3.67,2.39803,9.2872,TESS,CANDIDATE
298.781281,54.781445,1.5502952,3.34528,10796.6,2839.0,7851.0,4.17,1.86,9.2293,TESS,FALSE
294.824079,31.958037,1.80709,4.86242,7233.01,2569.0,6244.0,3.84,2.2,9.11458,TESS,FALSE
290.02096,36.637774,18.6922101,18.1458,282.175,1141.0,6277.0,4.09,1.65,9.03609,TESS,FALSE
193.39637,85.129495,8.0277326,9.06883,248.619,1106.0,5962.7,4.38,1.15,9.02855,TESS,CONFIRMED
192.184898,64.855276,12.5187279,5.58857,626.362,1393.0,5729.0,4.47,0.98,8.9361,TESS,CONFIRMED
192.184898,64.855276,6.2586065,2.51593,232.392,1087.0,5729.0,4.47,0.98,8.9361,TESS,CONFIRMED
192.184898,64.855276,26.3208756,2.71349,26.4328,631.0,5729.0,4.47,0.98,8.9361,TESS,CONFIRMED
192.184898,64.855276,18.795547,2.1597669,48.477077,672.9826313,5729.0,4.47,0.977727,8.9361,TESS,CONFIRMED
291.463084,25.189437,0.64971,6.23181,83182.0,4731.0,9994.0,4.02,2.59,8.90601,TESS,FALSE
304.034336,31.925687,4.4780798,11.3678,31621.7,3715.0,7947.0,4.2,1.83,8.86193,TESS,CANDIDATE
63.374706,-69.226593,3.2887898,10.5135877,759.3373533,1338.839265,5800.0,4.28004,1.24175,10.6103,TESS,CONFIRMED
247.534722,80.307766,16.9487087,45.2204505,78.263287,758.5937679,5894.7,4.37,1.1179,8.8523,TESS,FALSE
290.708965,56.615386,3.3686634,42.2321,9856.24,2775.0,7518.0,3.82,2.68,8.64028,TESS,FALSE
182.538652,77.352264,11.2071839,17.4989,813.063,1487.0,6152.0,3.84,2.24,8.63287,TESS,FALSE
297.710176,48.081864,4.8878037,5.29152,71.6805,810.0,4757.3,4.56,0.76,8.5077,TESS,CONFIRMED
292.286802,30.297329,0.660179,6.1672487,252487.7639,5717.153248,8598.7,4.1,2.62432,8.40386,TESS,FALSE
266.962207,83.428826,10.9278415,49.1695,270.142,1129.0,6259.0,3.59,2.92,8.36544,TESS,FALSE
161.909027,71.655727,5.5514888,15.8043,802.858,1482.0,6403.9,4.16,1.55,7.9179,TESS,CONFIRMED
6.70264,-56.316102,4.7423709,10.5505922,209.7699043,970.6340996,5377.0,4.42476,0.877585,13.0417,TESS,CONFIRMED
307.8599,39.938916,1.4810903,20.3402421,33326.73049,3446.021057,9435.0,4.11,2.28773,7.58204,TESS,CONFIRMED
294.661413,31.2192,3.4741012,21.2912,3453.07,2084.333087,8894.8,4.38,1.62,7.55216,TESS,CONFIRMED
182.691562,85.705076,6.0360758,9.86763,464.097,1293.0,6528.3,4.21,1.69,8.40534,TESS,CANDIDATE
254.924043,64.699214,21.745537,2.10208,28.2504,642.0,5704.0,4.51,0.93,9.3188,TESS,CANDIDATE
144.341393,68.458705,13.0727479,35.7944,221.343,1074.0,5709.8,3.37,3.59,9.6043,TESS,FALSE
357.846434,-70.152862,2.7985802,11.9514993,332.556249,1089.145817,4920.0,4.49371,0.906655,11.0443,TESS,CONFIRMED
232.146641,66.35871,2.2552845,14.688,549.715,1348.0,5787.0,4.5,0.96,9.76703,TESS,CONFIRMED
293.764981,37.53859,1.8824539,8.29008,15173.2,3091.0,5900.4,4.39,1.13,9.7604,TESS,FALSE
301.710466,38.431023,2.1358631,23.6019,1540.95,1745.0,5969.0,4.17,1.5,10.381,TESS,FALSE
15.006077,-58.904724,3.5862962,16.4747611,1787.595594,1658.39152,5704.8,3.84,2.00441,11.7806,TESS,CONFIRMED
300.805115,52.040842,1.8296155,29.3616,32867.0,3751.0,7875.0,3.61,3.5,10.349,TESS,FALSE
299.273862,35.988359,11.1876137,31.8624,838.609,1499.0,7266.0,4.06,2.05,10.3075,TESS,FALSE
197.683097,70.768012,7.0643978,9.39131,104.311,890.0,5429.6,4.44,0.96,10.2938,TESS,CONFIRMED
209.217175,68.618211,8.9534775,2.35888,45.5604,723.0,5029.5,4.61,0.76,10.2549,TESS,CONFIRMED
289.238688,31.323574,7.5022708,5.55812,129.866,940.0,6229.0,4.31,1.27,10.2026,TESS,FALSE
247.35668,71.505873,14.0077666,12.4023108,264.4796635,1028.532029,6557.7,4.18,1.57435,10.1772,TESS,CANDIDATE
297.30004,41.326844,1.692892,11.2371,187927.0,5800.0,9121.5,4.21,2.1,10.1617,TESS,FALSE
279.101036,55.391781,2.6652007,2.35964,2905.35,2045.0,4043.4,4.69,0.56,10.1358,TESS,FALSE
187.055897,67.240043,1.2615323,8.67407,1437.18,1715.0,4927.9,4.57,0.78,10.1313,TESS,CANDIDATE
349.559266,-56.903986,6.0344667,4.44029,64.2648,788.0,5586.0,4.36763,1.05,9.179,TESS,CONFIRMED
214.555774,82.193764,9.6867516,3.00336,41.6645,707.0,4738.1,4.59,0.73,10.112,TESS,CONFIRMED
297.215817,64.354351,2.1031647,16.7087,14140.0,3037.0,6122.0,3.93,1.93,10.079,TESS,CONFIRMED
272.20452,60.678785,5.7484439,2.35215,75.272,820.0,4534.0,4.61,0.69,9.9469,TESS,CONFIRMED
297.459433,34.829667,1.1967018,10.3239,25917.9,3534.0,5997.0,4.0,1.73,9.94025,TESS,FALSE
251.633465,65.715035,11.2464616,17.6677,365.938,1218.0,6115.7,3.89,2.01,9.92402,TESS,FALSE
162.893176,81.322174,2.5941968,4.47229,300.014,1159.0,6389.0,4.26,1.4,9.9002,TESS,CANDIDATE
99.238421,-58.016153,5.5411114,2.04482,258.843,1117.0,5332.0,4.56429,0.82,9.2789,TESS,CANDIDATE
99.238421,-58.016153,10.6917268,1.79811,42.2657,710.0,5332.0,4.56429,0.82,9.2789,TESS,CANDIDATE
292.734132,59.403853,3.6950015,14.1288,2184.62,1904.0,7106.7,4.2,1.63,9.80529,TESS,CANDIDATE
283.526697,37.720014,15.7335693,24.3218,367.588,1219.0,6800.0,3.91,2.21,9.7831,TESS,FALSE
167.821481,69.964775,2.3106428,8.76741,203.685,1052.0,5339.9,4.41,0.99,10.4782,TESS,CONFIRMED
291.707693,17.808736,5.5376617,15.6557,351.929,1206.0,6689.0,3.96,2.06,10.4318,TESS,CANDIDATE
293.26832,15.736136,4.5960377,16.2166,2340.04,1937.0,7649.0,4.04,2.12,10.4247,TESS,CANDIDATE
304.800032,32.581045,3.612771,19.3662,5011.92,2344.0,8324.0,4.28,1.71,10.4219,TESS,CONFIRMED
166.880658,61.352572,3.6714717,10.678,324.114,1182.0,5618.0,4.06,1.54,10.4221,TESS,CONFIRMED
222.841424,82.952258,0.8352406,6.4875,5021.63,2345.0,6105.0,4.31,1.24,10.402,TESS,FALSE
42.2477,-14.537283,2.4919771,2.2187585,39.6452664,639.9817426,3948.0,4.68962,0.482388,10.9473,TESS,CONFIRMED
168.226736,-34.406937,25.5195307,2.9641461,45.6335702,662.8890748,5742.22,4.29,1.17321,7.9995,TESS,CONFIRMED
169.119109,-60.567675,1.3812115,2.2402361,5767.367364,2222.614552,6711.0,4.06358,1.7756799,8.004,TESS,CANDIDATE
127.128017,-74.954728,2.3922703,3.5905923,18015.5142,2954.822621,6090.0,3.29864,4.1956,8.3902,TESS,CANDIDATE
180.325704,-60.200439,0.831542,1.881684,3776.609537,1999.379666,5824.0,4.438,1.1512,8.6014,TESS,FALSE
116.594329,-64.056009,2.6282553,0.9817044,955.7979966,1418.114438,6282.0,4.37809,1.10743,9.2397,TESS,CANDIDATE
30.508742,-83.227962,3.4239436,1.7581475,294.3078003,1056.380055,5626.0,4.56195,0.823019,10.5924,TESS,CANDIDATE
30.508742,-83.227962,10.983042,2.5070075,62.2119369,716.2888325,5626.0,4.56195,0.823019,10.5924,TESS,CANDIDATE
30.508742,-83.227962,17.726449,2.261664,32.8605569,610.6445415,5626.0,4.56195,0.823019,10.5924,TESS,CANDIDATE
73.541918,-70.379109,40.7199388,3.2352713,47.143655,668.3063106,5914.0,3.98,1.55953,9.597,TESS,CANDIDATE
331.867517,-41.815511,14.7741056,15.3936,123.522,928.0,6053.0,4.3135,1.23,9.9358,TESS,CANDIDATE
66.221959,-73.333516,79.3739596,2.17454,3.05331,368.0,5168.33,4.60584,0.77,11.1762,TESS,FALSE
31.178933,-73.126759,18.1663644,2.80447,16.6472,562.0,5572.9,3.83,1.14,9.8135,TESS,CANDIDATE
87.874157,-70.991808,105.5850893,2.5033335,8.047858,429.5758177,5909.57,4.26154,1.1142,10.4016,TESS,CANDIDATE
163.198824,-67.387472,27.2149622,8.3475973,25.4860381,573.0537137,6270.0,4.54537,0.989667,10.6392,TESS,FALSE
285.049519,-84.448187,19.1807264,2.4311768,32.9407734,611.0168649,5262.4,3.98,0.937973,10.0329,TESS,CANDIDATE
146.87585,-77.296816,1.2124493,0.879419,336.2098533,1092.125026,3751.0,4.75718,0.518,10.42,TESS,CANDIDATE
87.714849,-75.688563,4.5541831,0.8887417,54.8401357,694.0557871,4280.0,4.61209,0.635812,11.546,TESS,CANDIDATE
193.260548,-44.09936,41.4856125,12.5121956,271.196017,1035.00054,6354.0,4.24472,3.4868701,9.6517,TESS,CANDIDATE
71.484109,-68.761805,13.7738265,1.8971927,67.2831271,730.4597521,5455.96,4.46737,1.01825,10.3869,TESS,CANDIDATE
72.332562,-67.368745,1.9142544,2.04421,6105.33,2462.0,6734.0,4.18582,1.59,10.1207,TESS,CANDIDATE
332.948236,-58.946085,5.0780325,2.6347763,8.1743139,431.253644,3318.0,4.9581,0.334125,13.084,TESS,CONFIRMED
71.650779,-78.561605,70.3607265,8.2807306,52.1124723,685.259664,6308.0,3.98679,2.0982201,9.5298,TESS,CANDIDATE
107.921025,-65.508857,91.6827832,3.239855,5.9944903,399.0780255,5802.0,4.44521,1.01814,10.0564,TESS,CONFIRMED
99.224785,-63.079384,10.1944993,2.7392825,231.1087411,994.4291411,6082.0,4.33287,1.32661,10.3014,TESS,CANDIDATE
117.214876,-63.720125,14.64319,3.41248,391.2017546,1134.279147,6516.0,3.99366,2.04178,9.3109,TESS,FALSE
37.197836,-80.899105,4.1782656,2.1023854,13.9295288,492.7241583,3442.0,4.893,0.404403,11.556,TESS,CONFIRMED
37.197836,-80.899105,17.9453645,3.3839124,1.9952383,303.1226876,3442.0,4.893,0.404403,11.556,TESS,CONFIRMED
97.166308,-64.596432,13.896396,2.4586343,52.3837065,686.1495861,5522.87,4.67156,0.888163,11.7582,TESS,CANDIDATE
97.166308,-64.596432,8.1213102,2.3157186,107.208941,820.6868999,5522.87,4.67156,0.888163,11.7582,TESS,CANDIDATE
103.754836,-69.867129,3.9287851,2.329279,376.4612937,1123.439869,5668.15,4.52573,0.986943,11.5514,TESS,CANDIDATE
186.767363,-72.45185,27.3613778,6.4522449,0.8345555,243.7718547,3050.0,4.438,0.44128,13.802,TESS,CONFIRMED
107.843685,-68.83334,29.0497517,2.84674,257.066,1115.0,8208.0,4.25979,1.8,9.0963,TESS,CONFIRMED
74.130396,-74.920333,31.8132264,21.6314984,48.4375724,672.8454841,6028.84,3.96199,1.98893,10.779,TESS,CANDIDATE
319.699588,-26.616374,3.3088922,24.9862,17074.7,3184.0,6188.0,4.27166,2.62,7.87598,TESS,CONFIRMED
118.129594,-83.825063,25.0571312,3.2396838,53.1389289,688.6094029,5696.0,4.26563,1.15281,9.6245,TESS,CONFIRMED
156.74726,-52.467872,24.2454967,3.878568,0.05273,122.2177444,3535.0,4.84874,0.465271,10.2565,TESS,CONFIRMED
116.501399,-61.879794,14.2545623,10.7048234,90.0658585,785.7055082,5739.0,4.28235,1.09597,11.7835,TESS,CANDIDATE
186.574063,-51.363052,14.1758947,2.6231641,53.8795095,690.9961983,5723.87,4.438,0.864173,8.6522,TESS,CONFIRMED
186.574063,-51.363052,19.5901578,3.0026428,35.0031418,620.3638839,5723.87,4.438,0.864173,8.6522,TESS,CONFIRMED
186.574063,-51.363052,6.2036219,2.056748,162.1675094,910.1452592,5723.87,4.438,0.864173,8.6522,TESS,CONFIRMED
186.574063,-51.363052,3.79589,1.553135,312.1807495,1072.065399,5723.87,4.438,0.864173,8.6522,TESS,CONFIRMED
290.57223,26.319493,2.2645386,5.1936764,34.1873897,616.7174475,3443.0,4.81617,0.411471,13.7991,TESS,FALSE
152.218255,69.27662,3.4447015,2.00495,231.437,1086.0,3912.0,4.62642,0.63,9.91924,TESS,CONFIRMED
286.040876,36.632536,3.0300715,12.7529892,318.4581858,1077.414594,5242.82,4.52404,0.857369,11.0248,TESS,CONFIRMED
286.638391,39.487904,12.72038,4.96046,41.1042,705.0,6212.0,4.17664,1.48,10.2768,TESS,CONFIRMED
286.638391,39.487904,6.238755,2.9728283,587.1290759,1255.46077,6212.0,4.17664,1.47768,10.2768,TESS,CONFIRMED
201.382339,68.836068,3.2947689,2.5248559,56.9377632,700.5995436,3853.0,4.63168,0.62326,11.2582,TESS,CONFIRMED
201.382339,68.836068,0.7645807,1.2407226,399.2723837,1140.084569,3853.0,4.63168,0.62326,11.2582,TESS,CONFIRMED
158.011286,84.030377,12.6396982,4.6025162,39.6563977,640.0266601,5217.0,4.59186,0.789425,10.7192,TESS,CONFIRMED
66.58263,-67.806354,1.8428078,21.2705,1687.83,1785.0,5080.0,4.48159,4.09,11.1311,TESS,CANDIDATE
286.110305,43.680961,1.7208555,13.4646314,2259.389668,1758.399429,5832.83,4.20893,1.33402,13.8046,TESS,CONFIRMED
289.73973,44.647347,4.7802597,7.6126429,1770.015134,1654.298952,5826.0,3.7213,2.3387201,11.1634,TESS,CANDIDATE
